date,COKE,DGEAF,LVMUY,TSLA
2020-01-02 00:00:00+00:00,,,,
2020-01-03 00:00:00+00:00,0.011898016997247574,-0.009640877318256025,-0.008909630886787645,0.029633245014642373
2020-01-06 00:00:00+00:00,-0.013122900335920562,0.008517887562796478,-0.00021404109602529697,0.019254644364687046
2020-01-07 00:00:00+00:00,-0.010106024609136566,-0.004102316603110001,-0.009419824447946201,0.038800549231518655
2020-01-08 00:00:00+00:00,-0.006806132683699673,0.007996123093537921,0.008212664793121771,0.04920479256385102
2020-01-09 00:00:00+00:00,-0.002885378345341305,0.02548076922999054,0.012861736334661256,-0.02194497500711179
2020-01-10 00:00:00+00:00,-0.005208710120639948,-0.011954992967482037,-0.004444444445029894,-0.006627332031412414
2020-01-13 00:00:00+00:00,0.020616682422957666,-0.015658362990133123,0.014774659864364992,0.09768900972498162
2020-01-14 00:00:00+00:00,-0.011614236346079831,0.001205109667013149,0.002409133759718296,0.02488282589642954
2020-01-15 00:00:00+00:00,0.0027754748943744634,0.0132402503604927,0.005015673981069835,-0.03610202260559192
2020-01-16 00:00:00+00:00,0.029295470884271646,-0.002375861251195377,0.002807236431283222,-0.00966248794599811
2020-01-17 00:00:00+00:00,-0.02462022001030595,0.015241724221082498,0.007568688440036997,-0.005822898206391591
2020-01-21 00:00:00+00:00,0.005334765485224269,-0.012667135819370179,-0.03210537147537729,0.07189030362389826
2020-01-22 00:00:00+00:00,0.0037394494105265075,-0.005702066999349942,-0.004890495429303976,0.04086257309941521
2020-01-23 00:00:00+00:00,-0.012453874538866816,-0.0011947431297135713,-0.014209401709417424,0.004635156963269882
2020-01-24 00:00:00+00:00,-0.006688722669776381,0.003827751194525275,-0.011704779451051528,-0.01289758825585463
2020-01-27 00:00:00+00:00,0.0007602635580203909,-0.020495710198969785,-0.02763460905820736,-0.012039233738182054
2020-01-28 00:00:00+00:00,-0.005136924357031392,-0.016788321168388576,0.0028194428786838532,0.015913408121572603
2020-01-29 00:00:00+00:00,-0.0035271444673443675,0.007918831971502005,0.00820962662996405,0.024854471688128488
2020-01-30 00:00:00+00:00,0.01109327105521829,-7.3655778570769215e-06,-0.008923591745466197,0.10296218523554623
2020-01-31 00:00:00+00:00,-0.02262884365503348,-0.019143278737547953,-0.018795723128934405,0.015230723615424324
2020-02-03 00:00:00+00:00,0.0209371884347076,0.0,0.004588208305147612,0.19894861429208222
2020-02-04 00:00:00+00:00,0.004376446758958208,0.03254067584408693,0.03471112125971709,0.13725641025641022
2020-02-05 00:00:00+00:00,-0.011415607331740851,-0.0001212121198780336,0.007283160450204829,-0.17175839289337813
2020-02-06 00:00:00+00:00,0.008305405799228449,-0.004970299429380987,0.006134969325582329,0.01940928270042197
2020-02-07 00:00:00+00:00,0.009248554913171114,-0.013157894738911047,-0.020034843205665287,-0.001188314462721607
2020-02-10 00:00:00+00:00,0.0026489117986261412,-0.001234567900705641,0.006111111111474221,0.031026508214471837
2020-02-11 00:00:00+00:00,0.007211710103341762,-0.011124845488716173,-0.002098288238708057,0.004019292604501734
2020-02-12 00:00:00+00:00,-0.004040833687621648,0.00575000000018111,0.025453740593005536,-0.00915571166610707
2020-02-13 00:00:00+00:00,0.023204498540609908,0.0091971165809841,-0.013274336283645494,0.04784370967952145
2020-02-14 00:00:00+00:00,-0.022573913043428262,-0.0258620689674266,-0.014656020998614072,-0.00493781094527368
2020-02-18 00:00:00+00:00,-0.012490658695514245,0.01137800252892518,-0.01598401598478616,0.07295976400884974
2020-02-19 00:00:00+00:00,-0.00331531531532836,0.014500000001721691,0.022109419063505165,0.06875582479030751
2020-02-20 00:00:00+00:00,-0.00943669101137834,0.0,-0.01776845822722406,-0.019631139499901917
2020-02-21 00:00:00+00:00,-0.0010585100558971883,-0.012321340561767036,-0.011011235954941023,0.001767825574543247
2020-02-24 00:00:00+00:00,-0.030838935983504623,-0.022455089821256102,-0.05532833446982388,-0.07459489456159807
2020-02-25 00:00:00+00:00,-0.034911778012540196,0.0,-0.019603126878908972,-0.04063373271447257
2020-02-26 00:00:00+00:00,-0.1796234080786251,-0.04287901990860854,0.012021589793790532,-0.02639046892775443
2020-02-27 00:00:00+00:00,-0.04276190476182873,-0.016426666666393475,-0.03818181818178834,-0.12814586543400086
2020-02-28 00:00:00+00:00,-0.023082280370236963,-0.055570763755609875,0.042470069313565784,-0.01621502209131076
2020-03-02 00:00:00+00:00,0.12547102556240475,0.027536231885325613,0.03143133462238512,0.11322025778829015
2020-03-03 00:00:00+00:00,-0.04099176545111083,0.032440056415676155,-0.0246132208153248,0.002541620720260429
2020-03-04 00:00:00+00:00,0.019013021324976398,-0.008196721311405142,0.04674357125617856,0.005352040884763376
2020-03-05 00:00:00+00:00,-0.044122413074944355,-0.015151515149940842,-0.04775571116867072,-0.033302201467645176
2020-03-06 00:00:00+00:00,-0.001985856824277543,-0.011188811188696413,-0.017842073539415026,-0.029066718193612395
2020-03-09 00:00:00+00:00,-0.03615627274931765,-0.02545968882872518,-0.07376948569925734,-0.1357252516063001
2020-03-10 00:00:00+00:00,0.09838872104742902,-0.013062409287204368,0.04174397031533217,0.06139802631578961
2020-03-11 00:00:00+00:00,-0.05565233336427544,-0.0420588235293311,-0.06296908790334621,-0.017200502068709045
2020-03-12 00:00:00+00:00,-0.011990291262120034,-0.04851089960233734,-0.09299484116108747,-0.1161723664916513
2020-03-13 00:00:00+00:00,0.06465877266257047,0.01581155211447638,0.10118245771540235,-0.024850593167424884
